"";"TournamentName";"TournamentStart";"TournamentEnd";"TournamentCountry";"TournamentPostalCode";"TournamentCity";"TournamentStreet";"TournamentPlace";"maxParticipants";"nParticipants";"TournamentID";"TournamentLongitude";"TournamentLatitude"
"112";"1. Deutsche Meisterschaft fÃ¼r Kinder- und Jugendmannschaften -Kinderturnier-";2014-06-06 18:00:00;2014-06-08 16:00:00;"Deutschland";"36199";"Rotenburg a. d. Fulda";"Breitinger Kirchweg 6";"Rotenburg a. d. Fulda";12;6;112;9,736715;50,9932181
"113";"1. Bremer Landesmeisterschaft";2014-06-07 10:00:00;2014-06-08 16:00:00;"Deutschland";"28201";"Bremen";"Weg zum KrÃ¤henberg 1";"Bremen";16;15;113;8,8223004;53,0632417
"114";"3. Hagener Jugger Cup";2014-06-14 09:30:00;2014-06-15 09:30:00;"Deutschland";"58097";"Hagen";"Am Sportpark";"Rasenplatz am HÃ¶ing";20;20;114;7,4755535;51,3671591
"115";"2. Cottbuser Jugger Turnier";2014-06-28 10:00:00;2014-06-29 16:00:00;"Deutschland";"03044";"Cottbus";"Walther-Pauer-StraÃe 3";"Sportplatz BTU Cottbus-Senftenber";12;11;115;14,3248696816474;51,76903075
"116";"6. Hessische Meisterschaft";2014-07-05 08:30:00;2014-07-05 19:00:00;"Deutschland";"64289";"Darmstadt";"Kranichsteiner StraÃe 183";"Sportplatz Ziegelbusch der TG 1875 Darmstadt";20;20;116;8,6723973;49,8899555
"117";"1. Teuto Tournament";2014-07-05 10:00:00;2014-07-06 16:00:00;"Deutschland";"33609";"Bielefeld";"Heeper Fichten";"KÃ¤figplatz an der Radrennbahn";24;14;117;8,5854349;52,0345594
"118";"9. Schleswig-Holstein Meisterschaft";2014-07-12 09:00:00;2014-07-13 17:00:00;"Deutschland";"23847";"Rethwisch";"Buchrader Weg 2";"Sportplatz des VfL Rethwisch";18;14;118;10,4401006536605;53,78423965
"119";"1. Ruhrpott-Pott";2014-07-19 09:00:00;2014-07-19 19:00:00;"Deutschland";"44894";"Bochum";"Everstalstr. 91";"Sportplatz EverstalstraÃe";16;6;119;7,334741;51,4928541
"120";"1. Mitteldeutsche Meisterschaft";2014-07-26 10:00:00;2014-07-27 16:00:00;"Deutschland";"06108";"Halle Saale";"PeiÃnitzstraÃe";"Sportplatz Ziegelwiese";16;10;120;11,9568511;51,4930211
"121";"1. Kampf um die rote Stadt";2014-08-02 09:00:00;2014-08-03 16:00:00;"Deutschland";"27367";"Rotenburg (WÃ¼mme)";"Buchenende 11";"BÃ¶tersen";10;4;121;9,3080182;53,1407347
"122";"2. Bergische Meisterschaft";2014-08-02 10:00:00;2014-08-03 16:00:00;"Deutschland";"42285";"Wuppertal";"Oberbergische Str. 91";"Wuppertal";20;16;122;7,17908785;51,2523273
"123";"1. FrÃ¤ngsche Meisterschaft";2014-08-08 22:00:00;2014-08-10 16:00:00;"Deutschland";"91056";"NÃ¼rnberg";"Karl-May-Str. 39";"Erlangen";16;12;123;11,0592872;49,4735212
"124";"20. Hamburger Meisterschaft";2014-08-09 10:00:00;2014-08-10 16:30:00;"Deutschland";"22303";"Hamburg";"SaarlandstraÃe";"Stadtpark KrÃ¤henwiese / Rugby GelÃ¤nde FC St. Pauli";24;18;124;10,0316818;53,5957328
"125";"3. Berlin Masters";2014-08-16 09:30:00;2014-08-17 16:00:00;"Deutschland";"10965";"Berlin";"Columbiadamm 111";"VereinsgelÃ¤nde Turngemeinde in Berlin 1848 e.V.";24;20;125;13,4079108;52,4826748
"126";"2. Greifswalder Strandturnier";2014-08-23 10:00:00;2014-08-23 18:00:00;"Deutschland";"17493";"Greifswald";"Yachtweg 1";"Greifswald-Eldena";8;5;126;13,4496172;54,0932255
